source,target,value,fromID,toID
0,1,1,0,1
0,2,1,0,2
0,3,1,0,3
0,4,1,0,4
0,5,1,0,5
0,6,1,0,6
0,7,1,0,7
0,8,1,0,8
0,9,1,0,9
0,10,1,0,10
0,11,1,0,11
0,12,1,0,12
0,13,1,0,13
0,14,1,0,14
15,16,1,15,16
15,17,1,15,17
15,18,1,15,18
15,19,1,15,19
15,20,1,15,20
15,13,1,15,13
15,21,1,15,21
15,0,1,15,0
15,22,1,15,22
15,23,1,15,23
15,24,1,15,24
25,17,1,25,17
25,5,1,25,5
25,19,1,25,19
25,20,1,25,20
25,26,1,25,26
25,27,1,25,27
25,28,1,25,28
25,29,1,25,29
30,1,1,30,1
30,28,1,30,28
30,31,1,30,31
30,17,1,30,17
30,32,1,30,32
30,33,1,30,33
30,24,1,30,24
34,1,1,34,1
34,35,1,34,35
34,5,1,34,5
34,2,1,34,2
34,36,1,34,36
34,27,1,34,27
34,37,1,34,37
38,5,1,38,5
38,1,1,38,1
38,39,1,38,39
38,17,1,38,17
38,40,1,38,40
38,36,1,38,36
41,38,1,41,38
41,1,1,41,1
41,19,1,41,19
41,42,1,41,42
41,27,1,41,27
41,36,1,41,36
13,1,1,13,1
13,43,1,13,43
13,28,1,13,28
13,23,1,13,23
44,29,1,44,29
44,1,1,44,1
44,5,1,44,5
44,45,1,44,45
17,46,1,17,46
17,5,1,17,5
17,1,1,17,1
17,27,1,17,27
47,5,1,47,5
47,39,1,47,39
47,38,1,47,38
47,29,1,47,29
36,1,1,36,1
36,5,1,36,5
36,28,1,36,28
36,27,1,36,27
48,46,1,48,46
48,25,1,48,25
48,23,1,48,23
49,36,1,49,36
49,1,1,49,1
49,27,1,49,27
50,1,1,50,1
50,42,1,50,42
50,19,1,50,19
51,27,1,51,27
51,1,1,51,1
51,24,1,51,24
52,1,1,52,1
52,27,1,52,27
52,36,1,52,36
53,17,1,53,17
53,54,1,53,54
55,5,1,55,5
55,24,1,55,24
46,1,1,46,1
46,17,1,46,17
6,42,1,6,42
6,17,1,6,17
56,27,1,56,27
56,36,1,56,36
57,13,1,57,13
57,58,1,57,58
29,46,1,29,46
29,21,1,29,21
59,29,1,59,29
59,36,1,59,36
5,42,1,5,42
5,27,1,5,27
60,46,1,60,46
60,1,1,60,1
2,1,1,2,1
2,40,1,2,40
24,1,1,24,1
24,19,1,24,19
21,38,1,21,38
21,17,1,21,17
27,1,1,27,1
27,17,1,27,17
61,19,1,61,19
61,62,1,61,62
63,1,1,63,1
63,28,1,63,28
43,16,1,43,16
64,5,1,64,5
65,6,1,65,6
66,6,1,66,6
67,1,1,67,1
68,6,1,68,6
4,62,1,4,62
69,14,1,69,14
20,17,1,20,17
70,71,1,70,71
39,1,1,39,1
72,1,1,72,1
73,1,1,73,1
16,1,1,16,1
71,1,1,71,1
35,17,1,35,17
18,28,1,18,28
54,28,1,54,28
74,46,1,74,46
75,3,1,75,3
76,63,1,76,63
8,1,1,8,1
77,46,1,77,46
78,1,1,78,1
79,40,1,79,40
80,1,1,80,1
81,17,1,81,17
82,1,1,82,1
