source,target,value,fromID,toID
0,3,1,0,3
0,4,1,0,4
0,10,1,0,10
0,11,1,0,11
0,14,1,0,14
0,15,1,0,15
0,18,1,0,18
0,20,1,0,20
0,24,1,0,24
0,26,1,0,26
0,28,1,0,28
0,32,1,0,32
0,51,1,0,51
0,63,1,0,63
0,64,1,0,64
0,69,1,0,69
0,70,1,0,70
0,73,1,0,73
0,76,1,0,76
0,77,1,0,77
0,78,1,0,78
0,81,1,0,81
0,83,1,0,83
0,87,1,0,87
0,105,1,0,105
0,98,1,0,98
0,103,1,0,103
1,0,1,1,0
1,2,1,1,2
1,3,1,1,3
1,11,1,1,11
1,18,1,1,18
1,19,1,1,19
1,21,1,1,21
1,38,1,1,38
1,41,1,1,41
1,63,1,1,63
1,67,1,1,67
1,69,1,1,69
1,71,1,1,71
1,72,1,1,72
1,76,1,1,76
1,77,1,1,77
1,87,1,1,87
1,98,1,1,98
1,100,1,1,100
1,101,1,1,101
2,41,1,2,41
2,57,1,2,57
2,63,1,2,63
2,67,1,2,67
2,91,1,2,91
3,0,1,3,0
3,1,1,3,1
3,2,1,3,2
3,13,1,3,13
3,14,1,3,14
3,22,1,3,22
3,24,1,3,24
3,28,1,3,28
3,38,1,3,38
3,39,1,3,39
3,45,1,3,45
3,50,1,3,50
3,55,1,3,55
3,60,1,3,60
3,61,1,3,61
3,63,1,3,63
3,65,1,3,65
3,67,1,3,67
3,69,1,3,69
3,70,1,3,70
3,71,1,3,71
3,72,1,3,72
3,73,1,3,73
3,74,1,3,74
3,75,1,3,75
3,76,1,3,76
3,77,1,3,77
3,78,1,3,78
3,79,1,3,79
3,80,1,3,80
3,81,1,3,81
3,83,1,3,83
3,85,1,3,85
3,86,1,3,86
3,87,1,3,87
3,97,1,3,97
3,101,1,3,101
4,9,1,4,9
4,18,1,4,18
4,22,1,4,22
4,48,1,4,48
4,63,1,4,63
4,67,1,4,67
4,69,1,4,69
4,70,1,4,70
4,76,1,4,76
4,87,1,4,87
4,93,1,4,93
5,2,1,5,2
5,4,1,5,4
5,18,1,5,18
5,20,1,5,20
